genes	control	control	infected	infected	infected
DVL2	146.608848727579	84.0033963150727	141.292101394319	87.7301517651554	58.3269238383874
PRSS22	563.464925653538	322.852050678529	1008.14118264975	625.968317278646	416.171699610081
UPF1	598.993538589446	343.209104013867	670.855566969503	416.543176313041	276.936510781923
SKAP2	2572.04200143856	1473.71912037403	2156.47373735871	1338.98332878542	890.215929957581
SLC25A5	5448.19027574637	3121.68392907757	6125.37586718359	3803.32763929184	2528.62211093903
CCDC109B	1237.72045776891	709.184493593779	1961.15134742344	1217.70504965266	809.584712435434
POLR2J	1165.00696344488	667.521384346495	1583.09857855506	982.967039100328	653.520397168874
DHX33	263.686345096611	151.08602749608	189.662684549827	117.764092511488	78.2948292760453
THSD7A	1325.08819190748	759.244135011668	51.0931901700383	31.7244437838309	21.0918273725094
LIG3	351.74834613705	201.543467397569	328.580778813237	204.020191560102	135.641737021885
RPAP3	1533.71613233884	878.783001284451	1050.06873399	652.00169356736	433.47985108932
ACSM3	964.529679160925	552.652650910309	229.433103009124	142.458076200361	94.7124927236459
AC004381.6	42.3862365966825	24.2863091964637	38.6415738557575	23.9930690063781	15.9516640565076
CIAPIN1	424.819541435795	243.411530827372	512.541029597973	318.243566829045	211.582539309672
SPPL2B	181.535086332132	104.015302859277	109.770124078201	68.1577352847534	45.3143070536638
FAM214B	486.923210199353	278.995461436219	665.085066433741	412.960195504012	274.554385086734
COPZ2	30.2084594405293	17.3087314474848	11.3417361484835	7.04223536749535	4.68199265209799
PRKAR2B	280.994677500047	161.003291829425	77.2923328914871	47.9918412136075	31.9071198557057
MSL3	601.537497493656	344.666732184979	432.511024433814	268.551868358064	178.545278415884
CREBBP	348.499108635394	199.681731302222	146.29327580685	90.8354477150745	60.3914633008452
PON1	84.7229775943427	48.5442585875227	50.0248069895441	31.0610704059624	20.6507871177184
GCFC2	382.999207975265	219.449470718427	219.282736904333	136.15557839576	90.522310647766
WDR54	555.17595805442	318.102668657493	379.42942552191	235.592795044531	156.632614180578
CROT	351.576605886271	201.445064303386	259.183255497908	160.930342994621	106.993680852846
KMT2E	2403.93328322904	1377.39680830122	1550.04584533344	962.444155845211	639.875867614546
RHBDD2	570.855329402608	327.086576905627	795.079806435794	493.675664780135	328.217634657425
SOX8	34.3961817916298	19.7081971234662	32.9693754594885	20.4711253079262	13.6101185589848
IBTK	3428.6151592192	1964.51524264358	2521.72707304561	1565.77400042468	1040.99649930357
ZNF195	399.028574826954	228.633918096662	249.643621385473	155.007056836308	103.055615618972
MYCBP2	764.331648866098	437.943923392761	620.208405869307	385.095677932406	256.028809084732
FBXL3	267.294672845831	153.153513794371	221.995102641796	137.839722487623	91.6420048715027
PDK2	105.157347655541	60.2526684249761	22.8733456438484	14.2023656305558	9.44236709718511
ITGA3	1381.45877295159	791.543142207053	2114.78620581946	1313.098983995	873.00686127571
ZFX	156.404960594381	89.6163362885857	108.688723566891	67.4862792724221	44.8678931024271
LAMP2	1495.81145626303	857.064520072533	2060.74578286384	1279.54456403405	850.698383994804
ASB4	178.123814231529	102.060724778264	110.560762697556	68.6486533571929	45.6406913177503
GDE1	1932.8527225044	1107.47880961063	4293.62327945753	2665.9680067888	1772.45462089019
C19orf60	565.916617622038	324.256812081813	351.946598567308	218.528340939387	145.287402814721
CRLF1	25.2901843056154	14.4906763373704	80.1146932557056	49.7442824374649	33.0722210636552
OSBPL7	262.191348124324	150.229429656026	460.385459342176	285.859477068999	190.052149825495
TMEM98	231.480657396875	132.63293158188	84.646439418034	52.558104120764	34.942975413379
