genes	infected	control	infected	control	infected	control	infected	control	infected	control	infected	control	infected	control	infected	control	infected	control
TCP11L2	2.26504716277747	13.1455941986063	2.26504716277747	35.6498015480549	2.26504716277747	20.2046042274265	4.96445705499843	20.2046042274265	3.77049578173123	13.1455941986063	3.77049578173123	20.2046042274265	3.77049578173123	35.6498015480549	4.96445705499843	35.6498015480549	4.96445705499843	13.1455941986063
USP54	29.6515265307827	69.7288045515034	29.6515265307827	189.098948810375	29.6515265307827	107.172249342983	64.9892560721392	107.172249342983	49.3592175666285	69.7288045515034	49.3592175666285	107.172249342983	49.3592175666285	189.098948810375	64.9892560721392	189.098948810375	64.9892560721392	69.7288045515034
NEU1	39.1233695192181	86.6847216495438	39.1233695192181	235.082041737015	39.1233695192181	133.233269415798	85.7493349440134	133.233269415798	65.1264583640884	86.6847216495438	65.1264583640884	133.233269415798	65.1264583640884	235.082041737015	85.7493349440134	235.082041737015	85.7493349440134	86.6847216495438
SPAG9	51.482388683382	110.965780645763	51.482388683382	300.930334443601	51.482388683382	170.552935596686	112.837433104035	170.552935596686	85.6998178908161	110.965780645763	85.6998178908161	170.552935596686	85.6998178908161	300.930334443601	112.837433104035	300.930334443601	112.837433104035	110.965780645763
SESN2	5.35374783913928	20.5757126603634	5.35374783913928	55.7996893841077	5.35374783913928	31.6245979237643	11.7341712205702	31.6245979237643	8.91208093838286	20.5757126603634	8.91208093838286	31.6245979237643	8.91208093838286	55.7996893841077	11.7341712205702	55.7996893841077	11.7341712205702	20.5757126603634
RHOU	10.5015823100844	31.054084954583	10.5015823100844	84.2161981544127	10.5015823100844	47.7297173998231	23.0170281858574	47.7297173998231	17.4813895500182	31.054084954583	17.4813895500182	47.7297173998231	17.4813895500182	84.2161981544127	23.0170281858574	84.2161981544127	23.0170281858574	31.054084954583
ARFGEF2	53.1253504875468	109.559074060707	53.1253504875468	297.11545853644	53.1253504875468	168.390846201125	116.438423606051	168.390846201125	88.4347633939167	109.559074060707	88.4347633939167	168.390846201125	88.4347633939167	297.11545853644	116.438423606051	297.11545853644	116.438423606051	109.559074060707
AJUBA	21.2090779214828	47.6289646546163	21.2090779214828	129.165948090534	21.2090779214828	73.2050880370732	46.4853704804119	73.2050880370732	35.3055513154523	47.6289646546163	35.3055513154523	73.2050880370732	35.3055513154523	129.165948090534	46.4853704804119	129.165948090534	46.4853704804119	47.6289646546163
SHC2	5.35374783982477	19.0515858334388	5.35374783982477	51.6663791591741	5.35374783982477	29.282035171167	11.7341712220726	29.282035171167	8.91208093952396	19.0515858334388	8.91208093952396	29.282035171167	8.91208093952396	51.6663791591741	11.7341712220726	51.6663791591741	11.7341712220726	19.0515858334388
IFRD1	18.7381174358112	46.1048376483714	18.7381174358112	125.032637379297	18.7381174358112	70.8625250088628	41.0695992694176	70.8625250088628	31.192283282382	46.1048376483714	31.192283282382	70.8625250088628	31.192283282382	125.032637379297	41.0695992694176	125.032637379297	41.0695992694176	46.1048376483714
SEL1L3	25.1214319704264	56.0116620386365	25.1214319704264	151.899153882737	25.1214319704264	86.0891829241927	55.0603414475122	86.0891829241927	41.8182256123054	56.0116620386365	41.8182256123054	86.0891829241927	41.8182256123054	151.899153882737	55.0603414475122	151.899153882737	55.0603414475122	56.0116620386365
S100P	22.2386448588702	54.8685664357359	22.2386448588702	148.799169904974	22.2386448588702	84.3322601178303	48.7419419681501	84.3322601178303	37.0194131096892	54.8685664357359	37.0194131096892	84.3322601178303	37.0194131096892	148.799169904974	48.7419419681501	148.799169904974	48.7419419681501	54.8685664357359
PLK2	6.79514148919522	22.6713870933897	6.79514148919522	61.4829910681534	6.79514148919522	34.8456217792948	14.8933711668864	34.8456217792948	11.3114873466299	22.6713870933897	11.3114873466299	34.8456217792948	11.3114873466299	61.4829910681534	14.8933711668864	61.4829910681534	14.8933711668864	22.6713870933897
CTH	9.06018864672977	26.1006725969602	9.06018864672977	70.7829394620321	9.06018864672977	40.1163881924128	19.8578282103935	40.1163881924128	15.0819831196336	26.1006725969602	15.0819831196336	40.1163881924128	15.0819831196336	70.7829394620321	19.8578282103935	70.7829394620321	19.8578282103935	26.1006725969602
