geneSymbol,Antiphospholipid_Syndrome,hepC_3,Autoimmune_hemolytic_anemia,hepC_1,Rheumatoid_Arthritis,Sjogrens_Syndrome,Immune_thrombocytopenic_purpura,Glomerulonephritis
ATP5H,,yes,,,,,,
ATP6AP1,,,,,,,yes,
ATP6V1G2,,,,,yes,,,
ATP6V1G2-DDX39B,,,,,yes,,,
ATXN2,yes,,,,,,,
AURKA,,,,,yes,,,
AXL,,,,,,,,yes
B3GAT1,,,,,yes,,,
B3GNT2,,,,,yes,,,
B3GNT9,,,,,yes,,,
B3GNTL1,,,,,yes,,,
B4GALT7,,,,,yes,,,
B9D1,,yes,,,,,,
BACH1-IT1,,,,yes,,,,
BACH2,,,,yes,yes,,,
BAG6,,,,,yes,,,
BAIAP2L1,,,,,yes,,,
BAIAP2L2,,,,yes,,,,
BAK1,,,,,yes,,,
BANK1,,,,,yes,,,
BATF,,,,yes,yes,,,
BAX,,,,,yes,,,yes
BBC3,,,,yes,yes,,,
BCAN,,,,yes,,,,
BCAR1,,,,,yes,,,
BCL2,,,,,yes,yes,,yes
BCL2A1,,,,,yes,,,
BCL2L1,,,,,yes,,,
BCL2L11,,,,,yes,,,
BCL3,,,,yes,yes,,,
BCL6,,,,,yes,yes,yes,
BCR,,,,,yes,,,
BDKRB2,,,,,yes,,,
BDNF,,,,,yes,yes,,
BECN1,,,,,yes,,,
BGLAP,,,,,yes,,,
BGN,,,,,yes,,,
BHLHE40,,,,yes,,,,
BHLHE40-AS1,,,,yes,,,,
BHLHE41,,,,yes,yes,,,
BIRC3,,,,yes,,,,
BIRC5,,,,,yes,,,
BLK,,,,,yes,yes,,
BLNK,,,,,yes,,,
BLZF1,,,,,yes,,,
BMI1,,,,,,,yes,
BMP2,,yes,,,yes,,,
BMP4,,,,,yes,,,
BMP5,,,,,yes,,,
BMP6,,,,,yes,yes,,
BMS1P20,,,,,yes,,,
BMX,,,,,yes,,,
BPI,,,,,yes,,,
BPIFA2,,,,,,yes,,
BRAF,,,,,yes,,,
BRD2,,,,,yes,,,
BRD3,,,,,yes,,,
BRD4,,,,,yes,,,
BRINP2,,,,yes,,,,
BRINP3,,,,yes,,,,
BRS3,,,,,yes,,,
BSG,,,,,yes,,,
BST1,,,,,yes,,,
BTBD19,,,,yes,,,,
BTF3P11,,,,,yes,,,
BTG2,,,,,yes,,,
BTG3,,,,,yes,,,
BTK,,,,,yes,,,
BTLA,,,,,yes,yes,,
BTN2A2,,,,yes,,,,
BTN2A3P,,,,yes,,,,
BTNL2,,,,,yes,,,
BW54,,,,,yes,,,
C10orf55,,,,yes,,,,
C12orf39,,,,yes,,,,
C19orf26,,,,yes,,,,
C1QTNF6,,,,,yes,,,
C1orf147,,,,yes,,,,
C2,,,,,yes,,,
C2-AS1,,,,,yes,,,
C20orf181,,,,,,,,yes
C2CD2,,yes,,,,,,
C2CD4C,,,,yes,,,,
C3,,,,,yes,yes,,yes
C3ORF62,,yes,,,,,,
C4A,,,,,yes,,,yes
C4B,,,,,yes,,,
C4B_2,,,,,yes,,,
C4ORF19,,yes,,,,,,
C5,,,,,yes,,,
C5AR1,,,,,yes,,,
C5orf30,,,,,yes,,,
C6,,,,,,,,yes
C6orf10,,,,,yes,,,
C6orf47,,,,,yes,,,
C7ORF49,,yes,,,,,,
C8orf47,,,,yes,,,,
C9orf9,,,,yes,,,,
CA1,,,,,yes,yes,,
CA13,,,,,yes,,,
CA2,,,,,yes,yes,,
CA3,,,,,yes,,,
CA6,,,,,,yes,,
CABIN1,,,,,yes,,,
CACNA1H,,,,yes,,,,
CACNA1S,,,,,yes,,,
CACNG4,,,,yes,,,,
CALB1,,,,,yes,,,
CALCRL,,,,,yes,,,
CALD1,,,,,yes,,,
