geneSymbol,Antiphospholipid_Syndrome,hepC_3,Autoimmune_hemolytic_anemia,hepC_1,Rheumatoid_Arthritis,Sjogrens_Syndrome,Immune_thrombocytopenic_purpura,Glomerulonephritis
FCGR2C,,,,,yes,,yes,
FCGR3A,,,yes,,yes,,yes,yes
FCGR3B,,,yes,,yes,,yes,yes
FCGRT,,,,,yes,,yes,
FCN1,,,,,yes,,,
FCRL3,,,,,yes,,,
FCRL4,,,,,yes,,,
FCRLA,,,,,yes,,,
FGA,yes,,,,,,,
FGB,,,,,yes,,,
FGD3,,yes,,,,,,
FGD4,,,,yes,,,,
FGF1,,,,,yes,,,
FGF13,,,,,yes,,,
FGF17,,,,yes,,,,
FGF2,,,,,yes,,yes,
FGF21,,,,yes,,,,
FGF4,,,,,yes,,,
FGF7,,,,,yes,,,
FGFR1,,,,,yes,,,
FHL1,,,,,yes,,,yes
FHL2,,,,yes,yes,,,
FILIP1,,,,yes,,,,
FILIP1L,,yes,,,,,,
FKBP5,,,,,yes,,,
FLG,,,,,yes,,,
FLI1,,,,,,,,yes
FLII,,,,,,,,yes
FLNB,,,,,yes,yes,,
FLNC,,,,yes,,,,
FLT1,,,,,yes,,,
FLT3LG,,,,,yes,,,
FLT4,,,,,yes,,,
FMNL1,,,,yes,,,,
FN1,,,,,yes,,,yes
FN3KRP,,yes,,,,,,
FOLR2,,,,,yes,,,
FOS,,,,yes,yes,,,yes
FOSB,,,,yes,yes,,,yes
FOSL1,,,,yes,,,,
FOSL2,,,,yes,,,,
FOXC1,,,,,yes,,,
FOXG1,,,,yes,,,,
FOXJ1,,,,,yes,,,
FOXO1,,,,,yes,,,
FOXO3,,,,,yes,,,
FOXO4,,,,,yes,,,
FOXP3,,,yes,,yes,yes,yes,
FPGS,,,,,yes,,,
FPR2,,,,,yes,,,
FRMD4A,yes,,,,,,,
FRZB,,,,,yes,,,
FSCN1,,,,,yes,,,
FSTL1,,,,yes,yes,,,
FSTL3,,,,yes,,,,
FTL,,,,,yes,,,
FUT1,,,,yes,,,,
FUT11,,yes,,,,,,
FUT4,,,,,yes,,,
G0S2,,,,,yes,,,
G3BP1,,,,,yes,,,
GABBR1,,,,,yes,,,
GABPA,,,,,yes,,,
GAD1,,,,yes,,,,
GADD45A,,yes,,yes,yes,,,
GADD45B,,,,yes,yes,,,
GALC,,,,,,,yes,
GALNS,,,,,,,,yes
GALNT16,,,,yes,,,,
GAPDH,,,,,yes,,,
GART,,,,,yes,,,
GAS6,,,,,yes,,,yes
GAST,,,,,,,,yes
GATA2,,,,yes,,,yes,
GATA3,,,,yes,yes,,yes,
GATA4,,,,,,,yes,
GBP1,,,,yes,,,,
GBP2,,,,yes,,,,
GC,,,,,yes,,,
GCG,,,,,yes,,,
GCK,,,,,yes,,,
GCLC,,,,,yes,,,
GCNT3,,yes,,,,,,
GCY,,,,,yes,,,
GDE1,,,,,yes,,,
GDF15,,yes,,,yes,,,
GDF5,,,,,yes,,,
GDNF,,,,yes,yes,,,
GDPD5,,,,,yes,,,
GEM,,,,yes,,,,
GFAP,,,,,yes,,,
GGH,,,,,yes,,,
GH1,,,,,yes,,,
GHRL,,,,,yes,,,
GIN1,,,,,yes,,,
GINS4,,yes,,,,,,
GJA5,,,,,,,,yes
GLB1,,,,,yes,,,
GLI1,,,,yes,yes,,,
GLP1R,,,,yes,,,,
GLS,,,,,yes,,,
GMDS-AS1,,,,yes,,,,
GNA12,,,,,yes,,,
GNG4,,yes,,,,,,
GNL1,,,,,yes,,,
GOLGA1,,,,,,yes,,
GOLGA4,,,,,,yes,,
GOLGA8I,,,,yes,,,,
GORAB,,yes,,,,,,
GORASP1,,,,,yes,,,
GP1BA,,,,,,,yes,
GP6,,,,,,,yes,
GP9,,,,,,,yes,
GPANK1,,,,,yes,,,
GPC1,,,,,yes,,,
GPC4,,,,yes,,,,
GPI,yes,,,,yes,,,
GPR15,,,,,yes,,,
GPR157,,yes,,,,,,
GPR176,,,,yes,,,,
GPR37L1,,,,yes,,,,
GPR42,,,,,yes,,,
GPRC5A,,,,yes,yes,,,
GPSM3,,,,,yes,,,
GPT,,,,,yes,,,
GPX2,,,,yes,yes,,,
GRAP,,,,,,yes,,
GRAP2,,,,,yes,,,
GREM1,,,,,yes,,,
GRHL3,,,,,yes,,,
GRIK4,,,,,yes,,,
GRIN2D,,,,yes,,,,
GRK1,,,,,yes,,,
GRK2,,,,,yes,,,
GRK5,,,,,yes,,,
GRK6,,,,,yes,,,
GRM3,,,,yes,,,,
GRN,,,,,yes,,,
GRP,,,,,yes,,,
GSDMB,,,,,yes,,,
GSDME,,,,,yes,,,
GSN,,,,,yes,yes,,
GSTK1,,,,,yes,,,
GSTM1,,,,,yes,yes,,
GSTM2,,,,,yes,yes,,
GSTP1,,,,,yes,,,
GSTT1,,,,,yes,yes,,
GTF2H1,,yes,,,,,,
GTF2I,,,,,,yes,,
GTPBP2,,,,yes,,,,
GUCY1B3,,,,yes,,,,
GUSB,,,,,yes,,,
GZMA,,,,,yes,yes,,
GZMB,,,,,yes,,yes,
H19,,,,,yes,,,
H3F3AP5,,,,,yes,,,
HAGH,,,,,yes,,,
HAL,,yes,,yes,,,,
HAMP,,,,,yes,,,
HAPLN1,,,,,yes,,,
HARS,,,,,yes,,,
HARS2,,,,,yes,,,
HAS1,,,,,yes,,,
HAS3,,,,,yes,,,
HAVCR1,,,,,yes,,yes,
HAVCR2,,,,,yes,,yes,
HBEGF,,,,yes,,,,yes
HCFC2,,,,yes,,,,
HCG17,,,,,yes,,,
HCG18,,,,,yes,,,
HCG20,,,,,yes,,,
HCG21,,,,,yes,,,
HCG22,,,,,yes,,,
HCG23,,,,,yes,,,
HCG27,,,,,yes,,,
HCLS1,,,,,yes,,,
HDAC1,,,,,yes,,,
HDAC3,,,,,yes,,,
HDAC5,,,,,yes,,,
HDAC9,,,,yes,yes,,,
HELZ2,,,,yes,,,,
HEPACAM2,,,,yes,,,,
HERC6,,,,yes,,,,
HERPUD1,,yes,,,,,,
HES1,,,,,,,yes,
HES4,,,,yes,,,,
HEXA,,,,,yes,,,
HEXB,,,,,yes,,,
HFE,,,,,yes,,,
HGF,,,,,yes,,,yes
HHAT,,,,,,,,yes
HID1,,yes,,,,,,
HIF1A,,,,,yes,,,
HIST1H1C,,,,yes,,,,
HIST1H1E,,,,yes,,,,
HIST1H2AC,,,,yes,,,,
HIST1H2BC,,,,yes,,,,
HIST1H2BF,,,,yes,,,,
HIST1H2BJ,,,,yes,,,,
HIST1H2BK,,,,yes,,,,
HIST1H2BO,,,,yes,,,,
HIST1H4I,,,,yes,,,,
HIVEP2,,yes,,yes,,,,
HIVEP3,,,,yes,,,,
HLA-A,,,,,yes,yes,yes,yes
HLA-B,,,,,yes,,,
HLA-C,,,,,yes,,,yes
HLA-DMA,,,,,yes,,,
HLA-DMB,,,,,yes,,,
HLA-DOA,,,,,yes,,yes,
HLA-DOB,,,,,yes,,,
HLA-DPA1,,,,,yes,,,
HLA-DPB1,,,,,yes,,,
HLA-DPB2,,,,,yes,,,
HLA-DQA1,,,,,yes,,,
HLA-DQA2,,,,,yes,,,
HLA-DQB1,,,,,yes,,,
HLA-DQB2,,,,,yes,,,
HLA-DRA,,,,,yes,yes,,
HLA-DRB1,yes,,,,yes,yes,yes,yes
HLA-DRB3,,,,,yes,,yes,
HLA-DRB4,,,,,yes,,,
HLA-DRB5,,,,,yes,,,
HLA-DRB6,,,,,yes,,,
HLA-E,,,,,yes,,,
HLA-G,,,,,yes,,,
HLA-H,,,,yes,,,,
HLA-P,,,,,yes,,,
HMCN1,,,,yes,,yes,,
HMGB1,,,,,yes,yes,,
HMGCR,,,,,yes,,,
HMGCS2,,yes,,,,,,
HMOX1,,,yes,,yes,yes,,
HNRNPA2B1,,,,,yes,,,
HNRNPC,,,,,yes,,,
HNRNPDL,,,,,yes,,,
HOOK2,,,,yes,,,,
HOTAIR,,,,,yes,,,
HOTAIRM1,,,,yes,,,,
HOXA1,,,,yes,,,,
HOXA5,,,,,yes,,,
HOXB2,,,,,yes,,,
HOXB4,,,,,,,yes,
HOXC12,,,,yes,,,,
HOXC6,,yes,,,yes,,,
HOXD-AS1,,,,yes,,,,
HOXD1,,,,,yes,,,
HOXD10,,,,,yes,,,
HOXD11,,,,,yes,,,
HOXD13,,,,,yes,,,
HOXD4,,,,,yes,,,
HOXD8,,,,,yes,,,
HOXD9,,,,,yes,,,
HP,,,,,yes,,,
HPGDS,,,,,yes,,,
HPLH1,,,,,yes,,,yes
HPRT1,,,,,yes,,,
HPSE,,,,,yes,,yes,
HR,,,,yes,,,,
HRES1,yes,,,,,yes,,
HRG,,,,yes,,,,
HRH4,,,,,yes,,,
HRK,,,,yes,,,,
HSCB,,yes,,,,,,
HSD11B1,,,,,yes,,,
HSD11B2,,,,,yes,,,
HSD17B1,,,,,yes,,,
HSD17B14,,,,yes,,,,
HSD17B8,,,,,yes,,,
HSF2,,yes,,,,,,
HSP90B1,,,,,yes,,,yes
HSPA14,,,,,yes,,,
HSPA1L,,,,,yes,,,
HSPA4,,,,,yes,,,
HSPA5,,,,,,,,yes
HSPA8,,,,,yes,,,
HSPB3,,,,,yes,,yes,
HSPB8,,,,yes,yes,,,
HSPD1,,,,,yes,,,
HSPE1-MOB4,,yes,,,,,,
HT,,,,,yes,yes,,
HTD2,,,,,yes,,,
HTR2A,,,,,yes,,,
HTRA1,,,,,yes,,,
HYAL2,,,,,yes,,,
IAH1,,yes,,,,,,
IBSP,,,,,yes,,,
ICA1,,,,,yes,yes,,
ICA1L,,yes,,,,,,
ICAM1,,yes,,yes,yes,yes,,yes
ICAM3,,yes,,,yes,,,
ICAM5,,,,yes,,,,
ICOS,,,,,yes,,yes,
ICOSLG,,,,yes,yes,,,
ID3,,,,,,yes,,
IDDM7,,,,,yes,,,
IDDM8,,,,,yes,,,
IDO1,,,,,yes,,yes,
IFI27,,,,,yes,yes,,
IFI35,,,,,yes,,,
IFI44,,,,,yes,,,
IFIH1,,,,yes,yes,,,
IFIT1,,,,yes,,,,
IFIT2,,,,yes,,,,
IFIT3,,,,yes,,,,
IFITM3,,,,yes,,,,
IFNA1,,,,,yes,yes,,
IFNA13,,,,,yes,yes,,
IFNB1,,,,,yes,yes,,
IFNG,,,,,yes,yes,yes,yes
IFNG-AS1,,,,,,yes,,
IFNGR1,,,,,yes,,,
IFNGR2,,,,,yes,,,
IFNL1,,,,,yes,,,
IFNLR1,,,,,yes,,,
IGAN1,,,,,yes,,,yes
IGF1,yes,,,,yes,,,yes
IGF1R,,,,,yes,,,
IGF2,,,,,yes,,,
IGFBP1,yes,,,yes,,,,
IGFBP3,,,,,yes,,,
IGFBP4,,,,,yes,,,
IGFBP5,,,,,yes,,,
IGH,,,yes,,,yes,yes,
IGHA1,,,,,yes,,,yes
IGHG3,,,,,yes,,,
IGHJ4,,,,,,,yes,
IGHJ6,,,,,,,yes,
IGHV1-69,,,,,yes,,,
IGHV3-69-1,,,yes,,yes,,yes,
IGHV3OR16-7,,,yes,,yes,,yes,
IGK,,,,,,,,yes
IGKC,,,,,yes,,,
IGKV1D-8,,,,,yes,,,
IGKV2-29,,,,,yes,,,
IGKV3-20,,,,,yes,,,
IGKV3D-15,,,,,yes,,,
IHH,,,,,yes,,,
IKBKB,,,,,yes,,,
IKBKE,,,,yes,yes,yes,,
IKBKG,,,,,,,yes,
IKZF1,,,,,,,,yes
IKZF3,,,,,yes,,,yes
IL10,,,yes,,yes,yes,yes,yes
IL10RA,,,,,yes,,,
IL10RB,,,,,yes,,,
IL11,,,,yes,yes,,,
IL12A,,,,,yes,yes,,
IL12A-AS1,,,,,,yes,,
IL12B,,,,,yes,,,
IL13,,,,,yes,yes,,
IL15,,,,,yes,,,
IL16,,,,,yes,,,
IL17A,,,,,yes,yes,yes,yes
IL17B,,,,,yes,,,
IL17C,,,,,yes,yes,yes,
IL17D,,,,,yes,yes,yes,
IL17F,,,,,yes,,yes,
IL17RA,,,,,yes,,,
IL18,,,,yes,yes,yes,yes,yes
IL18BP,,,,,yes,,yes,
IL18R1,,,,,yes,yes,,
IL18RAP,,,,,yes,,,
IL19,,,,,yes,,,
IL1A,,,,,yes,yes,yes,yes
IL1B,,,,,yes,yes,yes,yes
IL1R1,,,,,yes,,yes,
IL1RN,,,,,yes,,yes,yes
IL2,,,,,yes,yes,yes,yes
IL20,,,,,yes,,,
IL21,,,,,yes,yes,yes,
IL21R,,,,,yes,,,
IL22,,,,,yes,yes,yes,
IL23A,,,,,yes,yes,yes,
IL23R,,,,,yes,,yes,
IL24,,,,,yes,,,
IL26,,,,,yes,,,
IL27,,,,,yes,yes,yes,
IL27RA,,,,,yes,,,
IL2RA,,,yes,,yes,yes,yes,yes
IL2RB,,,,,yes,,yes,
IL2RG,,,,,yes,,,
IL3,,,,,yes,,,
IL31RA,,,,yes,,,,
IL32,,,,yes,yes,,,
IL33,,,,,yes,yes,yes,
IL34,,,,,yes,,,
IL36B,,,,,yes,,,
IL37,,,,,yes,,,
IL4,,,,,yes,yes,yes,yes
IL4R,,,,,yes,,,
IL5,,,,,yes,yes,yes,
IL5RA,,,,,yes,,,
IL6,,,yes,,yes,yes,yes,yes
IL6R,,,,,yes,,,
IL6ST,,,,,yes,,,
IL7,,,,,yes,yes,,
IL7R,,,,,yes,,,
IL8,,,,yes,,,,
IL9,,,,,yes,,yes,
IL9R,,,,,yes,,,
ILF3,,,,,yes,,,
INHBA,,,,,yes,,,
INHBE,,,,yes,,,,
INPP5D,,,,,yes,,,
INS,,,,,yes,,,
INTS6P1,,,,yes,,,,
IP6K3,,,,yes,yes,,,
IQCB1,,yes,,,,,,
IRAK1,,,,,yes,,,
IRAK1BP1,,,,,,yes,,
IRAK2,,,,yes,,,,
IRF1,,,,yes,yes,yes,,
IRF2,,,,,,yes,,
IRF3,,,,,yes,,,
IRF4,,,,,yes,,,
IRF5,,,,yes,yes,yes,,yes
IRF8,,,,,yes,,,
IRX1,,,,,yes,,,
ISG15,,yes,,yes,yes,,,
ISG20,,,,,yes,,yes,
ISL1,,,,,yes,,,
ISYNA1,,,,,yes,,,
ITCH,,,,,yes,,,
ITGA1,,,,,yes,,,
ITGA2,,,,,yes,,,yes
ITGA2B,,,,,,,yes,
ITGA3,,,,,,,,yes
ITGA4,,,,,yes,,,
ITGA6,,,,,yes,,,
ITGA9,,,,,yes,,,
ITGAE,,yes,,,,,,
ITGAL,,,,,yes,,,
ITGAV,,,,,yes,,,
ITGAX,,,,,yes,,,
ITGB1,,,,,yes,,yes,yes
ITGB2,,,,,yes,,,
ITGB3,,,,,,,yes,yes
ITGB6,,,,yes,,,,
ITPR1,,,,,,yes,,
ITPR2,,,,,yes,,,
ITPR3,,,,yes,yes,yes,,
ITSN2,,,,,,yes,,
IVD,,yes,,,,,,
IVNS1ABP,,,,,yes,,,
JAG1,,,,,yes,,,
JAK1,,,,,yes,,,
JAM3,,,,,yes,,,
JAZF1,,,,,yes,,,
JMY,,yes,,,,,,
JUN,,yes,,,yes,,,yes
JUNB,,yes,,yes,yes,,,yes
JUND,,,,,yes,,,yes
KANK4,,,,,yes,,,
KAT5,,,,,yes,,,
KCNA3,,,,,yes,,,
KCNMA1,,,,,yes,,,
KCTD11,,,,yes,,,,
KDM1A,,,,,yes,,,
KDM6A,,,,,,,yes,
KDM6B,,,,yes,,,,
KDR,,,,,yes,,,
KIAA1109,,,,,yes,,,
KIF5A,,,,,yes,,,
KIR2DL1,,,,,yes,,,
KIR2DL2,,,,,yes,,,
KIR2DL3,,,,,yes,,,
KIR2DL5A,,,,,yes,,,
KIR2DL5B,,,,,yes,,,
KIR2DS1,,,,,yes,,,
KIR2DS2,,,,,yes,,,
KIR2DS5,,,,,yes,,,
KIR3DL2,,,,,yes,,,
KIT,,,,,,,,yes
KITLG,,,,,yes,,,yes
KL,,,,,yes,,,
KLF10,,,,yes,,,,
KLF11,,yes,,,,,,
KLF12,,,,,yes,,,
KLF15,,,,,yes,,,
KLF2,,,,,yes,,,
KLF4,,,,yes,,,,
KLF6,,yes,,yes,,,,
KLF7,,,,yes,,,,
KLHL14,,,,yes,,,,
KLK1,,,,,yes,,,
KLK3,yes,,,,yes,,,
KLRB1,,,,,yes,,,
KLRC1,,,,,yes,,,
KLRC2,,,,yes,yes,,,
KLRC3,,,,yes,,,,
KLRC4-KLRK1,,,,yes,yes,,,
KLRD1,,,,,yes,,,
KLRG1,,,,,,yes,,
KLRK1,,,,yes,yes,,,
KMT2D,,,,,,,yes,
KNG1,,,,yes,yes,,,
KPNA1,,,,,yes,,,
KPNA2,,,,,yes,,,
KRT16,,,,,yes,,,
KRT19P1,,,,yes,,,,
KRT20,,,yes,,yes,,yes,
KRT6B,,,,,,yes,,
KRT7,,,,,yes,,,
KRTAP5-9,,,,,yes,,,
KRTAP5-AS1,,,,yes,,,,
KSR2,,,,yes,,,,
LA16c-380H5.5,,,,yes,,,,
LACC1,,,,yes,,,,
LACE1,,yes,,,,,,
LAD1,,,,yes,,,,
LAIR1,,,,,yes,,,
LAIR2,,,,,yes,,,
LAMA3,,yes,,yes,,,,
LAMC2,,,,yes,yes,,,
LAMP3,,,,,yes,,,
LANCL1,,,,,yes,,,
LAPTM5,,,,,,yes,,
LARP6,,,,yes,,,,
LBH,,,,,yes,,,
LCA5,,,,yes,,,,
LCAT,,,,,yes,,,
LCE3B,,,,,yes,,,
LCE3C,,,,,yes,,,
LCN1,,,,,,yes,,
LCN2,,,,,yes,,,
LCP2,,,,,yes,,,
LDAH,,yes,,,,,,
LDLR,,,,,yes,,,
LECT2,,,,,yes,,,
LEFTY1,,,,yes,,,,
LEFTY2,,,,yes,,,,
LEP,,,,,yes,,yes,
LETM2,,,,yes,,,,
LFNG,,,,yes,,,,
LGALS1,,,,,yes,,,
LGALS2,,,,,yes,,,
LGALS3,,,,,yes,,,
LGALS3BP,,,,,yes,,,
LGALS8,,,,,yes,,,
LGALS9,,,,,yes,,,
LHX2,,,,,yes,,,
LIF,,,,yes,yes,,,
LIG4,,,,,yes,,,
LILRA2,,,,,yes,,,
LILRA3,,,,,yes,yes,,
LILRB1,,,,,yes,,,
LILRB2,,,,,yes,,,
LIMA1,,,,yes,,,,
LIMS2,,,,yes,,,,
LIN28A,,,,yes,,,,
LINC-ROR,,,,,yes,,,
LINC00243,,,,,yes,,,
LINC00511,,,,yes,,,,
LINC00824,,,,,yes,,,
LINC00870,,,,yes,,,,
LINC01104,,,,,yes,,,
LINC01185,,,,,yes,,,
LINC01193,,,,,yes,,,
LINC02210-CRHR1,,,,,yes,,,
LINC02571,,,,,yes,,,
LMCD1,,,,yes,,,,
LMX1B,,,,,,,,yes
LNPEP,,,,,yes,,,
LOC100506248,,,,,yes,,,
LOC102723407,,,yes,,yes,yes,yes,
LOC102723996,,,,,yes,,,
LOC102724971,,,,,yes,,,
LOC105369230,,,,,yes,,,
LOC105379528,,,,,yes,,,
LOC390714,,,,,yes,,,
LONRF3,,,,yes,,,,
LOX,,,,,,,,yes
LPA,,,,,yes,,,
LPAR1,,,,yes,yes,,,
LPAR2,,,,,yes,,,
LPAR3,,,,,yes,,,
LPPR5,,,,yes,,,,
LPXN,,,,yes,,,,
LRAT,,,,,yes,,,
LRBA,,,yes,,,,,
LRG1,,,,,yes,,,
LRIT1,,,,,yes,,,
LRP1,,,,,yes,,,
LRP2,,,,,yes,,,
LRP6,,,,,yes,,,
LRP8,yes,,,,,,,
LRPAP1,,,,,yes,,,
LRPPRC,,,,,yes,,,
LRRC18,,,,,yes,,,
LRRC45,,yes,,,,,,
LRRC49,,,,yes,,,,
LSP1,,,,,yes,,,
LST1,,,,,yes,,,
LTA,,,,,yes,yes,yes,
LTB,,,,,yes,,,
LTB4R,,,,,yes,,,
LTB4R2,,,,,yes,,,
LTBP1,,yes,,,,,,yes
LTBR,,,,,yes,yes,,
LTC4S,,,,,yes,,,yes
LTK,,,,yes,,,,
LVRN,,,,,yes,,,
LY6G5C,,,,,yes,,,
LY6G6C,,,,,yes,,,
LY6G6F,,,,,yes,,,
LY6G6F-LY6G6D,,,,,yes,,,
LY96,,,,,yes,,,
LYZ,,,,,yes,,,
MAATS1,,,,yes,,,,
MAB21L2,,,,yes,yes,,,
MAFK,,,,yes,,,,
MAGEE1,,,,,yes,,,
MAGI3,,,,,yes,,,
MAK16,,,,,,yes,,
MAL,,,,,yes,,,
MALRD1,,yes,,,,,,
MALT1,,,,,yes,yes,,
MAP2,,,,yes,,,,
MAP2K1,,,,,yes,,,
MAP2K3,,yes,,,,,,
MAP2K4,,,,,yes,,,
MAP2K6,,,,yes,,,,
MAP2K7,,,,,yes,yes,,
MAP3K11,,,,,yes,,,
MAP3K14,,,,yes,,yes,,
MAP3K14-AS1,,,,yes,,,,
MAP3K2,,,,,yes,,,
MAP3K3,,,,,yes,,,
MAP3K5,,,,,yes,,,
MAP3K7,,,,,yes,,,
MAP4K3,,,,,yes,,,
MAP6,,,,,,,yes,
MAPK1,,,,,yes,yes,,yes
MAPK13,,,,,yes,,,
MAPK14,,,,,yes,,,
MAPK3,,,,,yes,,,
MAPK8,,,,,yes,,,
MAPK8IP2,,,,yes,,,,
MAPK9,,,,,yes,,,
MARCKS,,,,,yes,,,
MARCO,,,,,yes,,,
MARCOL,,,,,,yes,,
MARK2,,,,,yes,,,
MASP2,,,,,yes,,,
MBD4,,,,,yes,,yes,
MBL2,yes,,,,yes,yes,yes,
MBL3P,,,,,yes,,yes,
MBP,,,,,yes,,,
MCAM,,,,,yes,,,
MCCD1,,,,,yes,,,
MCL1,,,,,yes,,,
MCM8,,,,,yes,,,
MCOLN1,,yes,,,,,,
MCOLN3,,,,yes,,,,
MDC1,,,,,yes,,,
MDFI,,,,yes,,,,
MDGA2,,,,,yes,,,
MDK,,,,,yes,,,
MDM2,,,,,yes,,,
ME3,,,,yes,,,,
MECP2,,,,,yes,,,
MED27,,,,,yes,,,
MEF2B,,yes,,,,,,
MEFV,,,,,yes,,,yes
MET,,,,,yes,,,
METRNL,,,,yes,,,,
METTL7A,,,,yes,,,,
MFN2,,,,,,yes,,
MFSD11,,yes,,,,,,
MFSD4B,,,,,yes,,,
MGARP,,,,,yes,,,
MGAT5,,,,,yes,,,
MIA,,,,,yes,,,
MIA3,,,,,yes,,,
MICA,,,,,yes,,,
MICAL2,,,,yes,,,,
MICALCL,,,,yes,,,,
MICB,,,,,yes,,,
MIF,,,,,yes,,,yes
MIF-AS1,,,,,yes,,,
MIP,,,,,yes,,,yes
MIR100,,,,,,,,yes
MIR10A,,,,,yes,,,
MIR10B,,,,,,,,yes
MIR1246,,,,,yes,,,
MIR126,,,,,yes,,,
MIR130A,,,,,,,yes,
MIR132,,,,,yes,,,
MIR140,,,,,yes,,,
MIR143,,,,,yes,,,
MIR146A,,,,yes,yes,yes,yes,
MIR150,,,yes,,,,,
MIR155,,,,,yes,,,
MIR155HG,,,,,yes,,,
MIR16-1,,,,,yes,,,
MIR17HG,,,,,yes,,,
MIR181D,,,,,yes,,,
MIR18A,,,,,yes,,,
MIR19A,,,yes,,,,,
MIR19B1,,,,,yes,,,
MIR200C,,,,,,,yes,
MIR203A,,,,,yes,,,
MIR21,,,,,yes,,,
MIR210,,,,,yes,,,
MIR219A2,,,,,yes,,,
MIR22,,,,,yes,,,
MIR221,,,,,yes,,,
MIR223,,,,,yes,,,
MIR23B,,,,,yes,,,
MIR24-2,,,,yes,,,,
MIR27A,,,,,yes,,,
MIR301A,,,,,yes,,,
MIR30A,,,,,yes,,,
MIR323A,,,,,yes,,,
MIR338,,,,,yes,,,
MIR346,,,,,yes,,,
MIR34A,,,,,yes,,,
MIR34B,,,,,yes,,,
MIR409,,,,,,,yes,
MIR451A,,,,,yes,,,
MIR4764,,,,,yes,,,
MIR483,,,,,,yes,,
MIR499A,,,,,yes,,,
MIR522,,,,,yes,,,
MIR637,,,,yes,,,,
MIR650,,,,,yes,,,
MIR7-3HG,,,,,yes,,,
MITF,,,,,yes,,,
MMEL1,,,,,yes,,,
MMP1,,,,,yes,,,yes
MMP10,,,,,yes,,,
MMP11,,,,,,,,yes
MMP12,,,,,yes,,,
MMP13,,,,,yes,,,
MMP14,,,,,yes,,,
MMP15,,,,,yes,,,
MMP16,,,,,yes,,,
MMP17,,,,,yes,,,
MMP19,,,,yes,yes,,,
MMP2,,,,,yes,yes,,yes
MMP20,,,,,yes,,,
MMP25,,,,yes,yes,,,
MMP3,,,,,yes,yes,,yes
MMP8,,,,,yes,,,
MMP9,,,,,yes,yes,,yes
MMRN1,,,,,yes,,,
MOB4,,yes,,,,,,
MOBP,,,,,yes,,,
MOG,,,,,yes,,,
MOK,,,,,yes,,,
MON2,,,,,yes,,,
MOSPD1,,yes,,,,,,
MOSPD2,,yes,,,,,,
MPG,,,,,yes,,,
MPL,,,,,,,yes,
MPO,,,,,yes,,,yes
MPP1,,,,yes,yes,,,
MPPE1,,yes,,,,,,
MR1,,,,yes,,,,
MRAS,,,,yes,,,,
MRC1,,,,,yes,,yes,
MRE11,,,,,yes,,,
MRM2,,yes,,,,,,
MRPL17,,,,,yes,,,
MRPL28,,,,,,,yes,
MS,,,,,yes,yes,,
MS4A1,,,yes,,yes,,yes,yes
MSC,,,,,,,yes,
MSH2,,,,,yes,,,
MSH3,,,,,yes,,,
MSH5,,,,,yes,,,
MSH5-SAPCD1,,,,,yes,,,
MSH6,,,,,yes,,,
MSRA,,,,,yes,,,
MT-CO2,,yes,,,,,,
MT-ND1,,yes,,,,,,
MT-ND3,,yes,,,,,,
MT-ND4,,yes,,,,,,
MT-ND4L,,yes,,,,,,
MTCO2P12,,,,,yes,,,
MTHFD2,,yes,,,,,,
MTHFD2P7,,,,yes,,,,
MTHFR,yes,,,,yes,,,
MTMR11,,,,yes,,,,
MTNR1B,,,,,yes,,,
MTR,,,,,yes,,,
MTRR,,,,,yes,,,
MTX1,,yes,,,yes,,,
MUC1,,,,,yes,yes,,
MUC13,,,,yes,,,,
MUC19,,,,,,yes,,
MUC2,,,,,yes,,,
MUC20,,,,yes,,,,
MUC22,,,,,yes,,,
MUC4,,,,,yes,yes,,
MUC5AC,,,,,yes,yes,,
MUC5B,,,,,,yes,,
MUL1,,,,,yes,,,
MX1,,,,yes,,,,
MYC,,,,,yes,yes,,
MYCN,,,,yes,yes,,,
MYCNOS,,,,yes,,,,
MYD88,,,,,yes,,,yes
MYDGF,,,,,yes,yes,,
MYEOV,,,,yes,,,,
MYH9,,,,,,,,yes
MYO18B,,,,yes,,,,
MYO9B,,,,,yes,,,
MYOC,,,,,,,,yes
MYOF,,yes,,yes,,,,
N4BP1,,,,,yes,,,
N4BP3,,,,yes,,,,
NAA25,,,,,yes,,,
NABP1,,,,yes,,,,
NAF1,,,,,yes,,,
NAMPT,,,,,yes,,,
NAT2,,,,,yes,,,
NAT6,,yes,,,,,,
NBN,,,yes,,,,,
NCAM1,,,,,yes,,yes,
NCF1,,,,,yes,yes,,
NCF2,,,,yes,yes,,,
NCF4,,,,,yes,,,
NCKIPSD,,,,,yes,,,
NCOA5,,,,,yes,,,
NCR3,,,,,,yes,,
ND1,,,,,yes,,,
NDRG4,,yes,,,,,,
NDUFA4L2,,,,,yes,,,
NDUFS3,,,,,yes,,,
NEDD4,,yes,,,,,,
NEDD9,,,,yes,yes,,,
NELFCD,,,,,yes,,,
NELFE,,,,,yes,,,
NELL1,,,,,yes,,,
NEURL3,,,,yes,,,,
NFAT5,,,,,yes,,,
NFATC1,,,,,yes,,,
NFATC2,,,,,yes,,,
NFE2L2,,,,,yes,,,
NFKB1,,,,,yes,yes,yes,yes
NFKB2,,yes,,yes,,,yes,
NFKBIA,,,,,yes,yes,,
NFKBIE,,,,yes,yes,,,
NFKBIL1,,,,,yes,yes,,
NGF,,,,,yes,yes,,yes
