genes	control	control	control	control	infected	infected	infected	infected
RTP4	1.24806607010183	1.25252793003529	1.2489042912422	1.25052992840294	166.805746623356	167.075941111353	169.256595863206	169.267045316378
CXCL10	0.748835496913437	0.751512598054532	0.749338426813714	0.750313803711	150.561135415164	150.805016634602	152.773305269937	152.78273708848
TRANK1	20.4679103021434	20.5410834706852	20.4816568781665	20.5083168414385	366.766977264928	367.361071998727	372.155823786273	372.178799699464
IFIT5	430.825958382326	432.366169375999	431.11530798872	431.676469536602	4028.96902494479	4035.49521031244	4088.16600030116	4088.41839282368
LAMP3	30.455997287916	30.5648780573623	30.4764520229572	30.5161217184523	462.90157606834	463.651391088931	469.702912346004	469.73191055764
IFITM3	581.871378138258	583.951579379793	582.262172265122	583.020074236606	5321.94372333306	5330.56428880269	5400.13816203129	5400.47155223427
DHX58	291.551537227876	292.593839517522	291.747347904784	292.127101048101	2673.4853325757	2677.81588482121	2712.76641028274	2712.93388928365
GBP4	1.24806076701842	1.25252260799326	1.24889898459716	1.2505246148505	148.676000708618	148.916828358157	150.860472591012	150.869786316341
CXCL11	5.24179839632738	5.26053792527071	5.2453188719934	5.25214644504126	167.162812310625	167.433585179059	169.618907857547	169.629379678901
SAMD9L	16.4733434137126	16.5322359296688	16.4844071747048	16.5058641150515	274.57108142484	275.015835842875	278.605308900912	278.622509253514
PARP14	2809.67659518339	2819.72124243913	2811.56361893647	2815.22329272475	21958.4347827671	21994.0033897453	22281.0664323658	22282.4420062932
HELZ2	2278.20236364669	2286.34698041834	2279.73244080287	2282.69985615911	16948.9436053954	16976.397762295	17197.9716298634	17199.0333870038
RNF213	3542.82850939475	3555.49418868519	3545.20792970305	3549.82255213127	26156.7386718011	26199.1077553379	26541.0553059005	26542.6938802388
DTX3L	704.152491341356	706.669849887852	704.625411420211	705.542587589145	5037.50979991078	5045.66963498074	5111.52509802711	5111.84067002524
BATF2	135.537979740262	136.022530595183	135.629009215915	135.805550812419	1045.0787378715	1046.77157232243	1060.43390687584	1060.4993752518
UBE2L6	367.194063381677	368.506789140718	367.440676789348	367.918956208151	2681.56891656734	2685.91256272527	2720.96876503666	2721.13675042919
NMI	24.9618146932929	25.0510536554877	24.9785794474027	25.0110928331416	267.246390127666	267.67927989922	271.17299712626	271.189738627651
ETV7	3.49437692998074	3.50686939395344	3.49672380943313	3.50127532247166	131.017628855423	131.229853205386	132.942649201468	132.950856727919
IRF9	338.724887655822	339.935835570282	338.9523807096	339.393578317509	2375.2010625554	2379.04844939896	2410.09949882929	2410.2482919781
LOC105376014	14.9760568305806	15.0295965185301	14.9861149899486	15.0056216772053	190.821808779631	191.130904850754	193.625522047678	193.6374759737
REC8	20.4701685854997	20.5433498274474	20.4839166782221	20.5105795829644	235.493249451923	235.874705002769	238.953312807606	238.96806515117
IFNL1	0.998460352027378	1.0020298667723	0.999130933974074	1.00043145346632	95.2839636986127	95.4383061137097	96.6839552140603	96.6899242249423
USP18	646.006783592638	648.316270128252	646.440652083902	647.282092019379	4049.61865680825	4056.17829076398	4109.11903378944	4109.37271989666
TRIM21	218.409646339668	219.190464978545	218.556333752466	218.840817760051	1345.76689868139	1347.94679239317	1365.54002908856	1365.62433390703
SLC15A3	10.9835738459908	11.0228403313506	10.990950589911	11.0052569685791	171.054186713081	171.331262889018	173.567457580334	173.578173174672
PARP10	336.733383012009	337.937211259497	336.959538539406	337.398142162884	1913.14191617892	1916.24085258232	1941.25139385524	1941.37124156595
GBP1	9.73533789388661	9.7701419119815	9.74187630257091	9.7545568228028	152.456750745941	152.703702511952	154.69677256317	154.706323131481
LOC105379061	28.4544744131741	28.5561997002829	28.4735848934305	28.510647555499	246.430649348945	246.829821466666	250.051414111901	250.066851622795
IFI35	505.763675702833	507.57179046092	506.103354679101	506.762124471399	3298.10535685166	3303.44767812233	3346.56387324219	3346.77048121693
HSH2D	219.415610705385	220.200025685998	219.562973739945	219.848768041188	1274.39400782794	1276.45829064447	1293.11846815728	1293.19830186072
NLRC5	96.3504458060619	96.6949004819896	96.4151563069671	96.5406551638854	609.826948050839	610.814755025905	618.787034512638	618.82523678244
RASGRP3	6.73986852978099	6.76396368793826	6.74439513331612	6.75317398004787	112.929556838427	113.112481853946	114.588812134702	114.595886543947
EIF2AK2	2131.2068804206	2138.82598554449	2132.63823305847	2135.41418313438	10435.7190236081	10452.6229601663	10589.0493168027	10589.7030566136
IGFBP6	65.398788717202	65.6325906304696	65.4427115900136	65.5278951421932	391.275701099453	391.909495437265	397.02465024553	397.049161494088
CCDC144NL	192.429838223087	193.117778553922	192.559077181105	192.809721841147	972.387699084575	973.962787484151	986.674830681555	986.735745367848
HIST1H2BM	59.9045042301668	60.1186639719156	59.9447370536143	60.0227641633204	321.478939779515	321.999676260686	326.202376658254	326.222515527539
ZNFX1	1871.89341817529	1878.58547274063	1873.15061174319	1875.58879957188	8148.92866938795	8162.12842811404	8268.65953022006	8269.17001532182
CXCL8	45.9284305314742	46.0926255439854	45.9592768002238	46.0190997256242	257.441713748003	257.858721755481	261.224262258574	261.24038955147
SP100	1405.61903331257	1410.64414808549	1406.56306954371	1408.39392336559	6055.84901545096	6065.65837188647	6144.82660319363	6145.20596848523
APOL6	1688.47896258075	1694.51530697958	1689.61297206584	1691.81225799505	7869.52284534627	7882.27001826462	7985.14844262887	7985.64142450826
C19orf66	241.88189580269	242.746628179738	242.044347553757	242.359404751246	1071.42212711562	1073.15763298952	1087.16435518003	1087.23147382295
PNPT1	1887.52773089107	1894.27567842167	1888.79542471352	1891.25397662417	7615.68386829298	7628.0198689716	7727.57985147925	7728.05693175718
ZBP1	0.249616249509382	0.250508632348005	0.24978389577614	0.250109027162088	61.0594833546181	61.1583884353864	61.9566202422529	61.9604452796091
TNFRSF9	11.9804564006416	12.0232867600906	11.9885026668345	12.0041075098745	109.828634793346	110.006536888125	111.442328755011	111.449208908719
PIK3AP1	1125.29417263009	1129.3171206955	1126.04993819991	1127.51566190445	4467.56395294478	4474.8005810544	4533.20513101988	4533.48499907759
C17orf67	18.7211354911494	18.7880639065257	18.733708905263	18.7580936508103	127.296652605186	127.502849661167	129.167001262761	129.174975690725
PLEKHA4	203.930895438393	204.659952267474	204.067858690441	204.333483764137	789.441771860455	790.720521661763	801.040909214148	801.090363354636
PML	104.337835942363	104.710845689913	104.407910902273	104.543813533906	417.309164075154	417.985127812654	423.440618585922	423.466760686281
ISG20	236.636686903073	237.482667558563	236.795615887926	237.103841070101	860.87504823488	862.269506744831	873.523742900874	873.577671939208
GZMA	1.49770896094471	1.50306329896007	1.49871484624459	1.50066564949227	48.8682545908203	48.9474121336255	49.5862677710683	49.5893290956828
PSMB8	104.090489399269	104.462614878225	104.160398237284	104.29597869388	403.705634328731	404.359562861634	409.637214427417	409.662504342225
LGALS9	28.4577587565435	28.5594957852422	28.4768714426174	28.513938382625	144.37838261346	144.612248915778	146.499710304154	146.508754807588
BIRC3	279.300226507458	280.298730128311	279.487809008079	279.851604513854	949.000606600681	950.537812231784	962.944115516808	963.003565131707
UBA7	602.614798596131	604.769157960253	603.019524336047	603.804445129647	1954.50402378315	1957.66995915819	1983.22122806381	1983.34366688073
PMAIP1	74.3818929048036	74.6478095863619	74.4318489741075	74.5287332433693	273.102122677651	273.544497653944	277.114766985867	277.131875316365
CD274	20.4694853400296	20.5426641393618	20.4832329738734	20.5098949886714	112.944064847126	113.127013362938	114.603533307173	114.610608625264
BST2	2773.82871810749	2783.74520852102	2775.6916658528	2779.30464688779	8662.84010739026	8676.87230768792	8790.12178396268	8790.66446276049
LGALS3BP	28009.2877016121	28109.4214377615	28028.0991873505	28064.5819826322	85762.2386778856	85901.1576578258	87022.3290628175	87027.7015905343
GNB4	3.74404660011936	3.75743163791044	3.74656116171665	3.75143787572283	48.1364993599761	48.2144715945174	48.8437609816743	48.8467764658896
MAP2	38.1907211320093	38.3272536862795	38.2163706313314	38.266114997399	155.799522936584	156.051889375884	158.088659552604	158.098419527019
DHRS2	33301.5790757096	33420.6328541581	33323.9449490058	33367.3210856973	97395.7603306426	97553.5234660763	98826.7801246423	98832.8814278492
MX2	2541.83428437257	2550.92139027395	2543.54142094452	2546.85222344778	7517.30879316752	7529.4854444017	7627.75936764952	7628.23028527562
LOC105371082	12.9796267181966	13.0260291305309	12.9883440431604	13.0052503304405	74.6783195465271	74.7992846255058	75.7755557413155	75.7802339230863
IFITM2	508.716475450036	510.535146523369	509.058137573856	509.720753461415	1502.83312584386	1505.26743782173	1524.91400434268	1525.00814848755
TNFSF10	472.551134600705	474.240513892792	472.868507503004	473.48401713279	1448.77572938222	1451.12247836628	1470.06235149774	1470.15310924709
PARP12	896.1041673323	899.30775677056	896.706005227769	897.87320323852	2635.3072226263	2639.57593338805	2674.02735567979	2674.19244303425
NEURL3	3.99372902238648	4.00800667958506	3.99641127469322	4.00161320627701	49.5791787019893	49.6594878104936	50.307637372592	50.3107432326518
SLFN5	746.352555916337	749.020780496153	746.853818233716	747.825961038473	2181.47962396823	2185.01321787615	2213.53174319301	2213.66840077009
GBP3	121.561800285006	121.996386032607	121.643443134933	121.80178040938	382.38444414979	383.003836294226	388.00275552842	388.026709789133
SP140	18.220224802981	18.2853624531219	18.2324617974624	18.2561940943546	89.3640384247984	89.508791654806	90.6770494575528	90.6826476180104
LOC101927027	99.5993912004182	99.9554609179116	99.6662837450298	99.7960144342947	323.036833329008	323.56009330987	327.783160079942	327.803396542601
B2M	3307.98581044189	3319.81192261788	3310.20750663635	3314.51624059641	9259.86433608706	9274.86360532006	9395.91799088382	9396.4980699322
BISPR	155.012970840614	155.567145159049	155.117080031868	155.318988289638	470.695123463193	471.457562590511	477.610969043415	477.64045547749
TYMP	145.769174874663	146.290302446743	145.867075784657	146.056943767805	431.051946394193	431.750170899727	437.385321332056	437.412324341365
TMEM140	418.099864085076	419.594579049641	418.380666642937	418.925252135836	1152.0164152767	1153.88246900562	1168.94280188406	1169.01496931132
TLR3	33.6959313855693	33.8163949810243	33.7185621121859	33.7624519025891	124.595539431451	124.797361183189	126.426201080019	126.434006298252
TRIM14	1024.67330944122	1028.33653600735	1025.36149642949	1026.69615895206	2754.52130007933	2758.98311561878	2794.99302585082	2795.16558130482
TNFRSF10D	5090.93212743377	5109.13230659698	5094.35127889991	5100.98234487263	1925.15547133366	1928.27386747662	1953.44146218843	1953.56206248161
PRSS23	35.4434573993352	35.5701684335199	35.4672617923811	35.5134277789693	123.571703423377	123.771866749961	125.387322018856	125.395063099452
TRIM5	788.545681870962	791.364747678397	789.075281766776	790.10238216963	2039.81231494619	2043.11643399008	2069.78293983605	2069.9107227434
LOC101929321	27.4502096288853	27.5483446502934	27.4686456288454	27.504400211004	119.037895726585	119.230715122435	120.78689983562	120.794356898355
ODF3B	127.048119910311	127.502319354899	127.133447460274	127.298930802763	343.880066454133	344.437088621348	348.932639381201	348.954181556601
EREG	35.4456708606708	35.5723898080218	35.4694767403128	35.5156456099895	117.572573568463	117.763019413171	119.300047941442	119.307413209886
KLF4	34.9453970214077	35.0703274802703	34.9688669091354	35.0143841596686	114.11740372025	114.302252828233	115.79411185425	115.801260675502
HIST1H3J	8.7367605713078	8.76799465648583	8.74262831948611	8.7540081678687	53.5678284607498	53.6545984448605	54.354891702401	54.3582474292053
MUC13	124.066409807132	124.509949581402	124.149734792886	124.311334383656	334.662100389445	335.204191154885	339.579235266086	339.600199987131
TDRD7	983.958310176876	987.475979846413	984.619152320249	985.900782541566	2413.48265691983	2417.39205287278	2448.94355832665	2449.09474960463
HLA-C	6889.4392737229	6914.06915013396	6894.06633136263	6903.03999771598	16656.3432795091	16683.323477946	16901.0721757948	16902.1156031506
APOL3	37.9407838893609	38.0764229132359	37.9662655268321	38.0156843434121	125.03021506024	125.232740906179	126.867263325912	126.875095774158
EIF4B	70401.7414610301	70653.4290254915	70449.0243969463	70540.7244197588	29688.2772708329	29736.3667943601	30124.4822173325	30126.3420229411
SAMHD1	1614.2816312769	1620.05271880541	1615.36580864721	1617.46845070324	3754.8757287001	3760.95793357342	3810.04549659901	3810.28071869951
PLA2G4C	25.7100882578139	25.8020023122309	25.7273555644212	25.7608435951265	88.3516919105902	88.4948053263012	89.6498287034876	89.6553634460611
NCF2	43.6833303124846	43.8394990490207	43.712668736008	43.7695673624205	127.031336823584	127.237104117022	128.897787240272	128.905745047676
ADAR	6366.18310322343	6388.94232887487	6370.45873364753	6378.75084579816	14498.8781654146	14522.3636690123	14711.9077836964	14712.8160578507
ZC3HAV1	2422.56108349043	2431.22178543059	2424.18811427243	2427.34356045899	5414.85561097047	5423.62667653028	5494.415188663	5494.75439927948
EIF4BP6	416.338556575648	417.826974832374	416.618176211206	417.160467557178	176.113821960334	176.399093810477	178.70143321124	178.712465763613
STAT2	1875.54021701406	1882.24530895459	1876.7998598304	1879.24279770547	4153.37917723155	4160.10688405802	4214.40409037384	4214.66427650111
ATF3	285.302426716156	286.322388316891	285.494040390465	285.8656539116	645.154063987937	646.199094363253	654.633205919905	654.673621237226
DDO	109.82249508622	110.215112594505	109.89625363096	110.039300167818	262.545122735888	262.970397322944	266.402654790442	266.419101783554
APOL4	447.80158746675	449.402486657203	448.102338177229	448.685610905062	981.84786868673	983.43828081306	996.273996990645	996.335504303997
RND1	81.3763507332773	81.6672727345769	81.4310043923625	81.5369991172625	199.320642574889	199.643505186388	202.249227801896	202.261714132631
RARRES3	10.2355899121063	10.272182340679	10.2424642980495	10.2557964090025	51.0636099040118	51.1463235167776	51.8138790766909	51.8170779281173
EEF1A1	503514.77801528	505314.852921369	503852.946595881	504508.787142893	231833.923451928	232209.451570806	235240.22093607	235254.744043193
ANO7P1	22.4648487325647	22.5451609939684	22.4799364843865	22.509197509732	71.736512155203	71.8527120497802	72.7905248606647	72.7950187545485
AREG	29.4534349466141	29.5587315366259	29.4732163447471	29.5115801778066	84.0674901896549	84.2036639901914	85.3026799154178	85.3079462765586
PLAUR	121.316950091538	121.750660495041	121.398428496158	121.556446847126	276.544500894812	276.99245188775	280.607723496687	280.625047473053
HIST1H2BB	460.267850767653	461.913317086462	460.576974020011	461.176484366479	970.920159485994	972.492870742586	985.185728766433	985.246551519524
TMEM229B	12.4824248299248	12.5270497360538	12.4908082261457	12.507066895575	55.1533301272134	55.2426683310627	55.9636888825545	55.9671439322285
AXL	895.109563979324	898.309597691683	895.710733883267	896.876636398364	1871.48997636099	1874.52144431813	1898.9874689762	1899.10470742432
LAP3	4963.91227691829	4981.65835770053	4967.24611982065	4973.71173927247	10220.1755628788	10236.7303588577	10370.338911663	10370.9791488738
LOC105376292	43.93312041251	44.0901821534036	43.9626265990609	44.019850583304	118.008444429867	118.199596304832	119.742322981304	119.749715554636
ACO1	3719.94540166818	3733.2442772165	3722.443776515	3727.28909810954	1795.82656333071	1798.73547053944	1822.21234593554	1822.32484449125
ARHGAP5	11145.1308679009	11184.9749226861	11152.6161161017	11167.1329268173	5390.53785362892	5399.26952891515	5469.74013453581	5470.07782177991
DGKE	15.4760663733945	15.5313936049676	15.486460347171	15.5066183093185	53.0492500978407	53.1351800808239	53.828693953396	53.8320171941474
PHF11	451.822091003462	453.437363570511	452.125541948439	452.714051482328	950.780009808733	952.320097744244	964.749663201823	964.809224286445
APOL1	4495.84851808891	4511.92126203278	4498.86800188232	4504.72395662314	9152.96633517055	9167.79244939414	9287.44935532436	9288.02273780696
LOC105373806	10.4829521641888	10.5204289175164	10.489992682578	10.5036469890291	46.6896429339575	46.7652715284316	47.375646133547	47.3785709802466
LOC105372343	5.49135900185921	5.51099071471288	5.4950470864206	5.50219971837674	34.2732384456932	34.3287547591375	34.776809468228	34.778956496178
THEMIS2	23.7145651700136	23.7993451914454	23.730492251389	23.7613810635398	69.2047361910278	69.3168350763519	70.2215499310889	70.2258852232763
GPLD1	781.055486784399	783.847775001968	781.580056145358	782.59740038244	378.160845473607	378.773396168603	383.717100215613	383.740789891338
TICAM1	31.4486397753869	31.5610692606017	31.4697611850039	31.5107238220776	86.367158721159	86.5070575597953	87.6361370962127	87.641547518809
TRIM25	2031.61392531292	2038.87698372847	2032.97838972876	2035.62461749858	4031.94307294842	4038.4740757243	4091.1837455001	4091.4363243302
XRCC3	158.000721926565	158.565577511947	158.10683773925	158.31263761727	335.004348587009	335.54699373129	339.926512059798	339.947498220791
MYD88	399.90591842712	401.335589689987	400.174501639993	400.695389065242	813.548515930007	814.866314202384	825.501849686247	825.552813980302
ESPNL	80.1266763700874	80.4131307617752	80.1804907278769	80.2848577207743	178.444461384854	178.733508440221	181.066316335259	181.077494889241
C5orf56	14.4768707203737	14.5286258084868	14.4865936183636	14.505450103271	50.4027629161882	50.4844060789417	51.1433223734015	51.1464798264361
RPS3AP6	584.573971794693	586.663834859941	584.966581026696	585.728003193771	282.169556311845	282.62661885519	286.315426922389	286.333103277222
EBF4	18.4708905506333	18.5369243355887	18.4832958962412	18.5073546915168	54.5621913165608	54.6505719847646	55.3638645671513	55.3672825852634
NCOA7	1714.61533786891	1720.7451203064	1715.76690096179	1718.00023017119	3327.46759621358	3332.85747888661	3376.35752712955	3376.56597448544
CCDC144NL-AS1	146.020164820728	146.542189686637	146.118234299584	146.308429203393	296.930255130089	297.411227278111	301.293002246452	301.311603277048
HIST1H4E	2115.01004613751	2122.57124727084	2116.43052072234	2119.18537401794	1014.02949214545	1015.67203255542	1028.92845971892	1028.99198303216
TRIM38	572.883033914112	574.931101654125	573.267791325191	574.013985754314	1113.04501346383	1114.84794072274	1129.39879971153	1129.46852579701
EEF1B2	22243.7835652686	22323.3055144955	22258.7228461873	22287.6959286429	11517.2725809713	11535.9284344484	11686.4939616588	11687.2154547905
SHISA5	2910.3761622011	2920.78081232381	2912.33081739448	2916.12165487844	5563.54377637639	5572.5556892903	5645.2880046852	5645.63652978906
ERN2	20.4707862911153	20.5439697413724	20.4845347986987	20.5111985080179	59.0562462088393	59.1519064155796	59.9239498644941	59.927649410174
EIF4BP7	213.422039249499	214.185027098185	213.565376905578	213.843364430627	99.5245277062207	99.6857390514599	100.9868251271	100.993059785754
LCN2	65.1544206202355	65.3873489129097	65.1981793715236	65.2830446281667	144.147573516735	144.381065950964	146.265509967554	146.274540012081
UGT2B11	235.141343195354	235.981977968654	235.299267883448	235.605545343177	111.627087425178	111.807902680911	113.267205753837	113.27419857061
TRIM56	424.081172419246	425.597270674845	424.365992119479	424.91836841555	819.294559515029	820.621665316289	831.332318939075	831.383643190832
EHD4	541.153403484558	543.088037192425	541.516850768202	542.221716562922	1043.9031574694	1045.59408769729	1059.24105386537	1059.30644859775
BTN3A1	243.61592756235	244.486859135912	243.779543916889	244.096859733961	476.68040994103	477.45254412651	483.684196345302	483.714057724319
TNFAIP3	530.923467234667	532.821528725912	531.280043929458	531.971584977261	1009.59202494912	1011.22737748216	1024.42579355118	1024.48903888176
GATSL2	2324.64022243042	2332.95085543026	2326.20148799551	2329.22938982015	1228.58113727055	1230.57121170184	1246.63247667177	1246.70944045344
TPD52L1	113.571692494799	113.977713455113	113.647969060502	113.795899020422	51.3352697258842	51.4184233773655	52.0895303513843	52.0927462207891
DKK4	3571.81702643822	3584.58634022833	3574.21591589834	3578.86829659248	1907.18932381828	1910.27861812195	1935.2113410398	1935.33081585367
IRF1	373.167245055981	374.501325053092	373.417870148029	373.903929784827	707.324278106851	708.470012741539	717.716876709822	717.76118664561
CSF1	14.2296007788532	14.2804718722234	14.2391576063944	14.2576920160404	46.8818899439973	46.9578299431052	47.5707177971011	47.5736546870077
RPS3A	60286.1439577923	60501.6680688245	60326.6330965868	60405.1573015493	32536.3232302495	32589.0260619833	33014.3740448681	33016.412264731
PPM1K	827.941229434537	830.901135073646	828.497288010381	829.575702095756	1521.22826678764	1523.69237549488	1543.57942204917	1543.67471854741
EIF4BP3	99.1001033212785	99.4543880751097	99.1666605361625	99.2957408905215	45.1520795412185	45.2252175670996	45.8154915762433	45.8183201031398
RPL7P1	117.81734561422	118.23854486517	117.896473628483	118.049933657402	56.0630741453388	56.1538859663995	56.8867996190359	56.8903116591176
RPL7	32915.8699375134	33033.5447984582	32937.9767623814	32980.8505033077	17766.1608629159	17794.9387607714	18027.1961253535	18028.3090766142
HIST1H2BO	1186.18471927044	1190.42535219796	1186.98137990556	1188.52641506463	2185.94487638599	2189.48570317776	2218.06260282584	2218.19954012618
DCLRE1C	611.53272962488	613.718970762011	611.943444789952	612.73998141097	1121.62466600949	1123.44149072022	1138.10451167267	1138.17477522571
CMTM4	4372.09270699134	4387.72302155723	4375.02907440206	4380.72383411467	2383.83179344074	2387.69316047358	2418.85703961571	2419.00637343185
PWAR5	1935.48557149638	1942.40496921908	1936.78547457185	1939.30649276509	1036.25232245103	1037.93085973987	1051.47780639377	1051.54272184386
TRNT	100.864848644814	101.225442396735	100.932591090892	101.063970070016	214.544390415825	214.891912685858	217.696655651338	217.710095665286
LOC105369205	1394.11315182486	1399.09713285266	1395.04946052191	1396.86532764639	2522.41091321135	2526.49675281226	2559.47227946746	2559.63029449544
APOBEC3G	94.3574067713517	94.6947362948312	94.4207787153547	94.5436815892595	188.993793504074	189.299928528221	191.770648046092	191.782487457114
WNT11	126.555853664345	127.008293247743	126.640850600422	126.805692753858	241.628464385523	242.019857850928	245.178671439255	245.193808119945
SOCS1	55.664645217782	55.8636473829376	55.7020304840837	55.77453507176	117.896384911863	118.087355271115	119.628616991341	119.636002544766
CYTH4	18.4711575508001	18.5371922902862	18.4835630757296	18.5076222187796	48.8808791336782	48.9600571259101	49.5990778042459	49.6021399197179
LOC105369835	174.723435080088	175.348074682987	174.840782134471	175.068363763139	87.5769583560083	87.7188168465123	88.8637121169552	88.8691983267764
HIST1H4C	1547.23079396245	1552.76217347254	1548.26993891768	1550.28524558706	826.224845901384	827.563177486045	838.364430876801	838.416189272493
RPL5	48242.2655203051	48414.7325369005	48274.665797652	48337.502550791	26565.5381831481	26608.5694463574	26955.8612408386	26957.5254241948
MVB12A	410.624986607519	412.092978742961	410.900768918075	411.43561819677	746.204020634607	747.412733268185	757.167872862519	757.214618398142
OGFR	1354.87707380488	1359.72078510766	1355.7870309242	1357.55179207921	2414.91630457367	2418.82802277091	2450.3982703283	2450.54955141634
MT2A	6341.75154712789	6364.4234295017	6346.01076892804	6354.27105836796	11605.1000223043	11623.898140008	11775.6118370577	11776.3388320906
PATL2	8.48643093079358	8.51677008274657	8.49213055358032	8.50318434136739	32.0333906507221	32.0852788246064	32.5040519601516	32.5060586740829
ZCCHC2	1165.70343001443	1169.87084194339	1166.486335088	1168.00469285738	2057.91728921531	2061.25073497216	2088.15392749693	2088.28284458032
MUC16	7.4899222757239	7.51669889028572	7.49495262735485	7.5047084377836	38.0310235999102	38.0926268309595	38.5898071380517	38.5921895703615
ATP10A	1212.32101338449	1216.65508406047	1213.13522757289	1214.71430590642	2131.36943235981	2134.82185701644	2162.6852908292	2162.81880928122
PKD1P1	113.075160953964	113.479406804577	113.151104041139	113.298387256353	211.643073515939	211.985896188685	214.752710182218	214.765968444782
MSRA	271.088911068102	272.058059080115	271.270978717902	271.624078780674	490.676378880777	491.471183949834	497.885805741276	497.916543889978
APOBEC3B	234.134929607583	234.971966433169	234.29217837221	234.597144953159	421.984948420189	422.668486064359	428.185103456806	428.211538469073
LOC729998	393.635876716263	395.043132460785	393.90024886881	394.412969408467	215.287998104458	215.636724881547	218.451189044722	218.46467564156
