genes	control	control	control	control	infected	infected	infected	infected
IFI6	529.669247073937	531.562824704257	530.024981414401	530.714888809187	56507.8972964722	56599.4296488456	57338.1584831402	57341.6983889207
OAS2	42.9325226469245	43.0860072317792	42.9613568160077	43.0172774967241	5685.72525941627	5694.93508375662	5769.26468004245	5769.62085913732
IFIT2	32.4497541198625	32.5657626078958	32.47154789389	32.5138145073473	3620.68933378099	3626.55418148884	3673.8875231783	3674.11433924677
DDX60	30.4525978447808	30.5614664611533	30.4730502967017	30.5127155643373	3679.61079534669	3685.57108493505	3733.67470803119	3733.90521520182
IFIT3	78.3772982040166	78.657498535495	78.4299376514416	78.5320260356795	6889.29819028351	6900.45758038168	6990.52150887144	6990.9530851228
IFIT1	123.307089173233	123.747914361797	123.3899041871	123.55051474382	15504.7508687543	15529.8657002713	15732.559608261	15733.5308947511
EPSTI1	62.1529138755618	62.375111724548	62.1946567668994	62.2756124862037	5458.61036888963	5467.45230907248	5538.81282800176	5539.15477961069
OASL	23.2138471376015	23.296837082546	23.2294379287353	23.25967454317	2693.6806151149	2698.04387998654	2733.2584187673	2733.42716289045
MX1	288.545526359346	289.577082102975	288.739318151262	289.115155890506	19065.5051034436	19096.3876988824	19345.6314158519	19346.8257638095
RSAD2	23.4638143639226	23.5476979464544	23.4795730370448	23.5101352400214	3740.85502926426	3746.91452319517	3795.81879334585	3796.05313712744
IFI44	12.7303935672297	12.7759049663098	12.7389435032218	12.7555251581113	1606.93385908559	1609.53679501609	1630.54427243616	1630.64493791353
OAS3	170.487188736346	171.096683678011	170.60169065991	170.823754472139	5769.87372767965	5779.21985699006	5854.64952782904	5855.01097835788
ISG15	743.358932342409	746.016454661022	743.858184094301	744.826427629745	19269.6001526496	19300.8133443565	19552.7251998518	19553.9323332301
CMPK2	94.1101721449466	94.4466177999354	94.173378042219	94.2959588868613	4178.60462878401	4185.37319618095	4240.00017531282	4240.26194167446
SAMD9	42.6839606591578	42.8365566301796	42.7126278900333	42.7682248125659	1471.50755442559	1473.89112476594	1493.12817148586	1493.22035325774
OAS1	365.207217489392	366.512840236587	365.452496499574	365.928188002086	11099.5279487263	11117.507133088	11262.6114766413	11263.3068003929
HERC6	35.195702601151	35.321527907221	35.2193405981108	35.2651838778997	1171.09499982832	1172.99195733896	1188.30170492225	1188.37506751682
HERC5	4.74264897625537	4.75960403653026	4.74583421518502	4.75201163367338	459.90762903664	460.652594416246	466.664975745867	466.693786403357
IFI44L	26.2090095086001	26.302707215976	26.2266118987016	26.2607497867702	2016.8538178112	2020.12074833189	2046.48711730077	2046.61346198584
DDX60L	10.9829334962474	11.0221976923447	10.9903098100985	11.0046153546951	488.386089062132	489.177184284871	495.561865073217	495.592459747988
IFITM1	1119.79683344836	1123.80012842166	1120.54890691723	1122.00747020049	18862.1043049498	18892.6574286784	19139.2420830752	19140.4236891029
XAF1	66.9003320893458	67.1395020487217	66.9452634227092	67.0324027725526	2331.37369249663	2335.15008709889	2365.62818047277	2365.77422808037
PARP9	480.002292555066	481.718309878529	480.324669774258	480.949884722978	7378.32021024137	7390.27172565282	7486.72864846783	7487.19085923149
IFIH1	315.76914924429	316.898029957409	315.981224856884	316.392522043406	4739.19524375972	4746.87186436979	4808.8274554538	4809.12433970257
STAT1	2745.72648332741	2755.54250771721	2747.57055716224	2751.14693433605	34175.0677018391	34230.4249968178	34677.1963178752	34679.3371959736
GBP5	7.98760468881903	8.01616052747143	7.99296929192098	8.00337334609608	289.028912215976	289.497085648448	293.275566208051	293.293672263417
TRIM22	245.112482086755	245.9887638712	245.277103551256	245.596368667893	2893.46040685065	2898.14727807059	2935.97354193272	2936.15480114974
IFI16	1.74728633237899	1.75353291424311	1.74845983783449	1.75073572182846	190.592710661692	190.901435636196	193.393057828992	193.40499740329
SP110	115.070952151658	115.482332993755	115.148235644133	115.29811842712	1480.58145789833	1482.97972628568	1502.3353963212	1502.42814652272
DDX58	674.93152737787	677.34442042254	675.384822189824	676.263937324948	7366.55663091019	7378.48909149674	7474.79222881163	7475.25370265241
HLA-B	395.388318377008	396.801839133791	395.653867497411	396.168870636006	5402.21758035926	5410.96817464467	5481.59146955878	5481.92988847286
KRT17	11.7319718201579	11.7739138425066	11.739851200131	11.7551323858122	280.211648579337	280.665539673928	284.328751975471	284.346305678263
PLSCR1	628.025970428973	630.271175215609	628.447762718442	629.265782196655	6167.61819891331	6177.60860077388	6258.23799277821	6258.62435978811
